,conference,year,title,abstract
0,IEEE Pacific Visualization Symposium,2015,None,None
1,IEEE Pacific Visualization Symposium,2015,None,None
2,IEEE Pacific Visualization Symposium,2015,None,None
3,IEEE Pacific Visualization Symposium,2015,None,None
4,IEEE Pacific Visualization Symposium,2015,None,None
5,IEEE Pacific Visualization Symposium,2015,None,None
6,IEEE Pacific Visualization Symposium,2015,None,None
7,IEEE Pacific Visualization Symposium,2015,None,None
8,IEEE Pacific Visualization Symposium,2015,None,None
9,IEEE Pacific Visualization Symposium,2015,None,None
10,IEEE Pacific Visualization Symposium,2015,None,None
11,IEEE Pacific Visualization Symposium,2015,None,None
12,IEEE Pacific Visualization Symposium,2015,None,None
13,IEEE Pacific Visualization Symposium,2015,None,None
14,IEEE Pacific Visualization Symposium,2015,None,None
15,IEEE Pacific Visualization Symposium,2015,None,None
16,IEEE Pacific Visualization Symposium,2015,None,None
17,IEEE Pacific Visualization Symposium,2015,None,None
18,IEEE Pacific Visualization Symposium,2015,None,None
19,IEEE Pacific Visualization Symposium,2015,None,None
20,IEEE Pacific Visualization Symposium,2015,None,None
21,IEEE Pacific Visualization Symposium,2015,None,None
22,IEEE Pacific Visualization Symposium,2015,None,None
23,IEEE Pacific Visualization Symposium,2015,None,None
24,IEEE Pacific Visualization Symposium,2015,None,None
25,IEEE Pacific Visualization Symposium,2015,None,None
26,IEEE Pacific Visualization Symposium,2015,None,None
27,IEEE Pacific Visualization Symposium,2015,None,None
28,IEEE Pacific Visualization Symposium,2015,None,None
29,IEEE Pacific Visualization Symposium,2015,None,None
30,IEEE Pacific Visualization Symposium,2015,None,None
31,IEEE Pacific Visualization Symposium,2015,None,None
32,IEEE Pacific Visualization Symposium,2015,None,None
33,IEEE Pacific Visualization Symposium,2015,None,None
34,IEEE Pacific Visualization Symposium,2015,None,None
35,IEEE Pacific Visualization Symposium,2015,None,None
36,IEEE Pacific Visualization Symposium,2015,None,None
37,IEEE Pacific Visualization Symposium,2015,None,None
38,IEEE Pacific Visualization Symposium,2015,None,None
39,IEEE Pacific Visualization Symposium,2015,None,None
40,IEEE Pacific Visualization Symposium,2015,None,None
41,IEEE Pacific Visualization Symposium,2015,None,None
42,IEEE Pacific Visualization Symposium,2015,None,None
43,IEEE Pacific Visualization Symposium,2015,None,None
44,IEEE Pacific Visualization Symposium,2015,None,None
45,IEEE Pacific Visualization Symposium,2015,None,None
46,IEEE Pacific Visualization Symposium,2015,None,None
47,IEEE Pacific Visualization Symposium,2015,None,None
48,IEEE Pacific Visualization Symposium,2015,None,None
49,IEEE Pacific Visualization Symposium,2015,None,None
50,IEEE Pacific Visualization Symposium,2015,None,None
51,IEEE Pacific Visualization Symposium,2015,None,None
52,IEEE Pacific Visualization Symposium,2015,None,None
53,IEEE Pacific Visualization Symposium,2015,None,None
54,IEEE Pacific Visualization Symposium,2015,None,None
55,IEEE Pacific Visualization Symposium,2015,None,None
56,IEEE Pacific Visualization Symposium,2015,None,None
57,IEEE Pacific Visualization Symposium,2015,None,None
58,IEEE Pacific Visualization Symposium,2015,None,None
59,IEEE Pacific Visualization Symposium,2015,None,None
60,IEEE Pacific Visualization Symposium,2015,None,None
61,IEEE Pacific Visualization Symposium,2015,None,None
62,IEEE Pacific Visualization Symposium,2015,None,None
63,IEEE Pacific Visualization Symposium,2015,None,None
64,IEEE Pacific Visualization Symposium,2015,None,None
65,IEEE Pacific Visualization Symposium,2015,None,None
66,IEEE Pacific Visualization Symposium,2015,None,None
67,IEEE Pacific Visualization Symposium,2015,None,None
68,IEEE Pacific Visualization Symposium,2015,None,None
69,IEEE Pacific Visualization Symposium,2015,None,None
70,IEEE Pacific Visualization Symposium,2015,None,None
71,IEEE Pacific Visualization Symposium,2015,None,None
72,IEEE Pacific Visualization Symposium,2015,None,None
73,IEEE Pacific Visualization Symposium,2015,None,None
74,IEEE Pacific Visualization Symposium,2015,None,None
75,IEEE Pacific Visualization Symposium,2015,None,None
76,IEEE Pacific Visualization Symposium,2015,None,None
77,IEEE Pacific Visualization Symposium,2015,None,None
78,IEEE Pacific Visualization Symposium,2015,None,None
79,IEEE Pacific Visualization Symposium,2015,None,None
80,IEEE Pacific Visualization Symposium,2015,None,None
81,IEEE Pacific Visualization Symposium,2015,None,None
82,IEEE Pacific Visualization Symposium,2015,None,None
83,IEEE Pacific Visualization Symposium,2015,None,None
84,IEEE Pacific Visualization Symposium,2015,None,None
85,IEEE Pacific Visualization Symposium,2015,None,None
86,IEEE Pacific Visualization Symposium,2015,None,None
87,IEEE Pacific Visualization Symposium,2015,None,None
88,IEEE Pacific Visualization Symposium,2015,None,None
89,IEEE Pacific Visualization Symposium,2015,None,None
90,IEEE Pacific Visualization Symposium,2015,None,None
91,IEEE Pacific Visualization Symposium,2015,None,None
92,IEEE Pacific Visualization Symposium,2015,None,None
93,IEEE Pacific Visualization Symposium,2015,None,None
94,IEEE Pacific Visualization Symposium,2015,None,None
95,IEEE Pacific Visualization Symposium,2015,None,None
96,IEEE Pacific Visualization Symposium,2015,None,None
97,IEEE Pacific Visualization Symposium,2015,None,None
98,IEEE Pacific Visualization Symposium,2015,None,None
99,IEEE Pacific Visualization Symposium,2015,None,None
100,IEEE Pacific Visualization Symposium,2015,None,None
101,IEEE Pacific Visualization Symposium,2015,None,None
102,IEEE Pacific Visualization Symposium,2015,None,None
103,IEEE Pacific Visualization Symposium,2015,None,None
104,IEEE Pacific Visualization Symposium,2015,None,None
105,IEEE Pacific Visualization Symposium,2015,None,None
106,IEEE Pacific Visualization Symposium,2015,None,None
107,IEEE Pacific Visualization Symposium,2015,None,None
108,IEEE Pacific Visualization Symposium,2015,None,None
109,IEEE Pacific Visualization Symposium,2015,None,None
110,IEEE Pacific Visualization Symposium,2015,None,None
111,IEEE Pacific Visualization Symposium,2015,None,None
112,IEEE Pacific Visualization Symposium,2015,None,None
113,IEEE Pacific Visualization Symposium,2015,None,None
114,IEEE Pacific Visualization Symposium,2015,None,None
115,IEEE Pacific Visualization Symposium,2015,None,None
116,IEEE Pacific Visualization Symposium,2015,None,None
117,IEEE Pacific Visualization Symposium,2015,None,None
118,IEEE Pacific Visualization Symposium,2015,None,None
119,IEEE Pacific Visualization Symposium,2015,None,None
120,IEEE Pacific Visualization Symposium,2015,None,None
121,IEEE Pacific Visualization Symposium,2015,None,None
122,IEEE Pacific Visualization Symposium,2015,None,None
123,IEEE Pacific Visualization Symposium,2015,None,None
124,IEEE Pacific Visualization Symposium,2015,None,None
125,IEEE Pacific Visualization Symposium,2015,None,None
126,IEEE Pacific Visualization Symposium,2015,None,None
127,IEEE Pacific Visualization Symposium,2015,None,None
128,IEEE Pacific Visualization Symposium,2015,None,None
129,IEEE Pacific Visualization Symposium,2015,None,None
130,IEEE Pacific Visualization Symposium,2015,None,None
131,IEEE Pacific Visualization Symposium,2015,None,None
132,IEEE Pacific Visualization Symposium,2015,None,None
133,IEEE Pacific Visualization Symposium,2015,None,None
134,IEEE Pacific Visualization Symposium,2015,None,None
135,IEEE Pacific Visualization Symposium,2015,None,None
136,IEEE Pacific Visualization Symposium,2015,None,None
137,IEEE Pacific Visualization Symposium,2015,None,None
138,IEEE Pacific Visualization Symposium,2015,None,None
139,IEEE Pacific Visualization Symposium,2015,None,None
140,IEEE Pacific Visualization Symposium,2015,None,None
141,IEEE Pacific Visualization Symposium,2015,None,None
142,IEEE Pacific Visualization Symposium,2015,None,None
143,IEEE Pacific Visualization Symposium,2015,None,None
144,IEEE Pacific Visualization Symposium,2015,None,None
145,IEEE Pacific Visualization Symposium,2015,None,None
146,IEEE Pacific Visualization Symposium,2015,None,None
147,IEEE Pacific Visualization Symposium,2015,None,None
148,IEEE Pacific Visualization Symposium,2015,None,None
149,IEEE Pacific Visualization Symposium,2015,None,None
150,IEEE Pacific Visualization Symposium,2015,None,None
151,IEEE Pacific Visualization Symposium,2015,None,None
152,IEEE Pacific Visualization Symposium,2015,None,None
153,IEEE Pacific Visualization Symposium,2015,None,None
154,IEEE Pacific Visualization Symposium,2015,None,None
155,IEEE Pacific Visualization Symposium,2015,None,None
156,IEEE Pacific Visualization Symposium,2015,None,None
157,IEEE Pacific Visualization Symposium,2015,None,None
158,IEEE Pacific Visualization Symposium,2015,None,None
159,IEEE Pacific Visualization Symposium,2015,None,None
160,IEEE Pacific Visualization Symposium,2015,None,None
161,IEEE Pacific Visualization Symposium,2015,None,None
162,IEEE Pacific Visualization Symposium,2015,None,None
163,IEEE Pacific Visualization Symposium,2015,None,None
164,IEEE Pacific Visualization Symposium,2015,None,None
165,IEEE Pacific Visualization Symposium,2015,None,None
166,IEEE Pacific Visualization Symposium,2015,None,None
167,IEEE Pacific Visualization Symposium,2015,None,None
168,IEEE Pacific Visualization Symposium,2015,None,None
169,IEEE Pacific Visualization Symposium,2015,None,None
170,IEEE Pacific Visualization Symposium,2015,None,None
171,IEEE Pacific Visualization Symposium,2015,None,None
172,IEEE Pacific Visualization Symposium,2015,None,None
173,IEEE Pacific Visualization Symposium,2015,None,None
174,IEEE Pacific Visualization Symposium,2015,None,None
175,IEEE Pacific Visualization Symposium,2015,None,None
176,IEEE Pacific Visualization Symposium,2015,None,None
177,IEEE Pacific Visualization Symposium,2015,None,None
178,IEEE Pacific Visualization Symposium,2015,None,None
179,IEEE Pacific Visualization Symposium,2015,None,None
180,IEEE Pacific Visualization Symposium,2015,None,None
181,IEEE Pacific Visualization Symposium,2015,None,None
182,IEEE Pacific Visualization Symposium,2015,None,None
183,IEEE Pacific Visualization Symposium,2015,None,None
184,IEEE Pacific Visualization Symposium,2015,None,None
185,IEEE Pacific Visualization Symposium,2015,None,None
186,IEEE Pacific Visualization Symposium,2015,None,None
187,IEEE Pacific Visualization Symposium,2015,None,None
188,IEEE Pacific Visualization Symposium,2015,None,None
189,IEEE Pacific Visualization Symposium,2015,None,None
190,IEEE Pacific Visualization Symposium,2015,None,None
191,IEEE Pacific Visualization Symposium,2015,None,None
192,IEEE Pacific Visualization Symposium,2015,None,None
193,IEEE Pacific Visualization Symposium,2015,None,None
194,IEEE Pacific Visualization Symposium,2015,None,None
195,IEEE Pacific Visualization Symposium,2015,None,None
196,IEEE Pacific Visualization Symposium,2015,None,None
197,IEEE Pacific Visualization Symposium,2015,None,None
198,IEEE Pacific Visualization Symposium,2015,None,None
199,IEEE Pacific Visualization Symposium,2015,None,None
200,IEEE Pacific Visualization Symposium,2015,None,None
201,IEEE Pacific Visualization Symposium,2015,None,None
202,IEEE Pacific Visualization Symposium,2015,None,None
203,IEEE Pacific Visualization Symposium,2015,None,None
204,IEEE Pacific Visualization Symposium,2015,None,None
205,IEEE Pacific Visualization Symposium,2015,None,None
206,IEEE Pacific Visualization Symposium,2015,None,None
207,IEEE Pacific Visualization Symposium,2015,None,None
208,IEEE Pacific Visualization Symposium,2015,None,None
209,IEEE Pacific Visualization Symposium,2015,None,None
210,IEEE Pacific Visualization Symposium,2015,None,None
211,IEEE Pacific Visualization Symposium,2015,None,None
212,IEEE Pacific Visualization Symposium,2015,None,None
213,IEEE Pacific Visualization Symposium,2015,None,None
214,IEEE Pacific Visualization Symposium,2015,None,None
215,IEEE Pacific Visualization Symposium,2015,None,None
216,IEEE Pacific Visualization Symposium,2015,None,None
217,IEEE Pacific Visualization Symposium,2015,None,None
218,IEEE Pacific Visualization Symposium,2015,None,None
219,IEEE Pacific Visualization Symposium,2015,None,None
220,IEEE Pacific Visualization Symposium,2015,None,None
221,IEEE Pacific Visualization Symposium,2015,None,None
222,IEEE Pacific Visualization Symposium,2015,None,None
223,IEEE Pacific Visualization Symposium,2015,None,None
224,IEEE Pacific Visualization Symposium,2015,None,None
225,IEEE Pacific Visualization Symposium,2015,None,None
226,IEEE Pacific Visualization Symposium,2015,None,None
227,IEEE Pacific Visualization Symposium,2015,None,None
228,IEEE Pacific Visualization Symposium,2015,None,None
229,IEEE Pacific Visualization Symposium,2015,None,None
230,IEEE Pacific Visualization Symposium,2015,None,None
231,IEEE Pacific Visualization Symposium,2015,None,None
232,IEEE Pacific Visualization Symposium,2015,None,None
233,IEEE Pacific Visualization Symposium,2015,None,None
234,IEEE Pacific Visualization Symposium,2015,None,None
235,IEEE Pacific Visualization Symposium,2015,None,None
236,IEEE Pacific Visualization Symposium,2015,None,None
237,IEEE Pacific Visualization Symposium,2015,None,None
238,IEEE Pacific Visualization Symposium,2015,None,None
239,IEEE Pacific Visualization Symposium,2015,None,None
240,IEEE Pacific Visualization Symposium,2015,None,None
241,IEEE Pacific Visualization Symposium,2015,None,None
242,IEEE Pacific Visualization Symposium,2015,None,None
243,IEEE Pacific Visualization Symposium,2015,None,None
244,IEEE Pacific Visualization Symposium,2015,None,None
245,IEEE Pacific Visualization Symposium,2015,None,None
246,IEEE Pacific Visualization Symposium,2015,None,None
247,IEEE Pacific Visualization Symposium,2015,None,None
